NAME           LANDFALL_DATE  MAX_WIND_SPEED(kn)
UNNAMED        10/12/1900     40
UNNAMED        06/13/1901     35
UNNAMED        08/10/1901     80
UNNAMED        09/17/1901     70
UNNAMED        09/28/1901     45
UNNAMED        06/15/1902     50
UNNAMED        10/11/1902     90
UNNAMED        09/12/1903     80
UNNAMED        10/17/1904     70
UNNAMED        06/12/1906     45
UNNAMED        06/17/1906     90
UNNAMED        10/18/1906     105
UNNAMED        06/28/1907     55
UNNAMED        09/19/1907     40
UNNAMED        06/29/1909     45
UNNAMED        08/29/1909     45
UNNAMED        09/26/1909     50
UNNAMED        10/18/1910     130
UNNAMED        08/04/1911     50
UNNAMED        11/01/1911     45
UNNAMED        10/04/1912     80
UNNAMED        09/18/1914     60
UNNAMED        08/01/1915     65
UNNAMED        09/04/1915     85
UNNAMED        05/14/1916     50
UNNAMED        08/25/1916     95
UNNAMED        10/18/1916     95
UNNAMED        09/29/1917     130
UNNAMED        07/04/1919     55
UNNAMED        09/30/1920     75
UNNAMED        10/16/1921     70
UNNAMED        10/25/1921     120
UNNAMED        09/15/1924     75
UNNAMED        10/21/1924     145
UNNAMED        12/01/1925     80
UNNAMED        07/28/1926     120
UNNAMED        09/18/1926     130
UNNAMED        08/08/1928     90
UNNAMED        08/14/1928     80
UNNAMED        09/17/1928     140
UNNAMED        10/01/1929     135
UNNAMED        09/09/1930     135
UNNAMED        08/30/1932     75
UNNAMED        09/15/1932     65
UNNAMED        07/30/1933     80
UNNAMED        09/04/1933     120
UNNAMED        07/23/1934     75
UNNAMED        10/06/1934     50
UNNAMED        09/04/1935     160
UNNAMED        06/15/1936     40
UNNAMED        07/29/1936     90
UNNAMED        08/22/1936     50
UNNAMED        07/29/1937     60
UNNAMED        08/30/1937     60
UNNAMED        09/20/1937     50
UNNAMED        08/11/1939     65
UNNAMED        10/06/1941     105
UNNAMED        10/20/1941     45
UNNAMED        10/19/1944     125
UNNAMED        06/24/1945     85
UNNAMED        09/05/1945     35
UNNAMED        09/15/1945     115
UNNAMED        10/08/1946     85
UNNAMED        11/01/1946     40
UNNAMED        09/17/1947     125
UNNAMED        09/24/1947     55
UNNAMED        10/07/1947     50
UNNAMED        10/12/1947     90
UNNAMED        07/09/1948     35
UNNAMED        09/22/1948     115
UNNAMED        10/06/1948     110
UNNAMED        08/27/1949     115
EASY           09/06/1950     105
KING           10/18/1950     115
LOVE           10/21/1950     70
HOW            10/02/1951     85
UNNAMED        02/03/1952     60
ALICE          06/06/1953     60
UNNAMED        07/11/1953     45
UNNAMED        08/29/1953     35
UNNAMED        09/20/1953     45
FLORENCE       09/26/1953     100
HAZEL          10/09/1953     75
UNNAMED        06/18/1954     60
FLOSSY         09/25/1956     80
UNNAMED        10/16/1956     55
DEBBIE         09/08/1957     35
UNNAMED        06/18/1959     75
JUDITH         10/18/1959     75
DONNA          09/10/1960     125
FLORENCE       09/23/1960     50
ALMA           08/26/1962     75
UNNAMED        06/06/1964     60
CLEO           08/27/1964     130
DORA           09/10/1964     115
HILDA          10/05/1964     120
ISBELL         10/15/1964     100
UNNAMED        06/15/1965     50
UNNAMED        10/18/1965     55
ALMA           06/10/1966     100
UNNAMED        07/01/1966     40
ABBY           06/04/1968     65
BRENDA         06/18/1968     70
